Attack,Power,Type,PP,Accuracy,Effect,Effect Chance,Target
Pound,40,Normal,35,100,Normal Hit,0,One Opponent Pokemon
Karate Chop,50,Fighting,25,100,Critical Hit,0,One Opponent Pokemon
Doubleslap,15,Normal,10,85,Hit 2-5x,0,One Opponent Pokemon
Weather Ball,100,Water,15,100,Normal Hit,0,One Opponent Pokemon
Mega Punch,80,Normal,20,85,Normal Hit,0,One Opponent Pokemon
Pay Day,40,Normal,20,100,Earn money,100,One Opponent Pokemon
Fire Punch,75,Fire,15,100,Burn,10,One Opponent Pokemon
Ice Punch,75,Ice,15,100,Freeze,10,One Opponent Pokemon
Thunderpunch,75,Electric,15,100,Parlyze,10,One Opponent Pokemon
Scratch,40,Normal,35,100,Normal Hit,0,One Opponent Pokemon
Weather Ball,100,Fire,15,100,Normal Hit,0,One Opponent Pokemon
Guillotine,1,Normal,5,30,1 Hit K.O,0,One Opponent Pokemon
Razor Wind,80,Normal,10,100,Raise Critical chance,0,Both Opponent Pokemon
Swords Dance,0,Normal,5,0,Raise Attack sharply,0,Your two Pokemon
Cut,50,Normal,30,100,Normal Hit,0,One Opponent Pokemon
Gust,40,Flying,35,100,149,0,One Opponent Pokemon
Wing Attack,60,Flying,35,100,Normal Hit,0,One Opponent Pokemon
Whirlwind,0,Normal,5,100,Scare Opp./Switch PKMN,0,One Opponent Pokemon
Fly,70,Flying,15,95,Fly/Bounce/Dig,0,One Opponent Pokemon
Bind,15,Normal,20,100,2-5 Hits + Lower Evas.,100,One Opponent Pokemon
Slam,80,Normal,20,75,Normal Hit,0,One Opponent Pokemon
Vine Whip,35,Grass,10,100,Normal Hit,0,One Opponent Pokemon
Stomp,65,Normal,20,100,Flinch 2x on minimized,30,One Opponent Pokemon
Double Kick,30,Fighting,30,100,Hit 2x,0,One Opponent Pokemon
Mega Kick,120,Normal,5,75,Normal Hit,0,One Opponent Pokemon
Jump Kick,70,Fighting,25,95,Hit or Self damage,0,One Opponent Pokemon
